experiment,model,sample_steps,num_classes,mean_dice,mean_iou,dice_kidney,dice_tumor,dice_cyst,ms_per_image
unet_axial_2d_multiclass,unet_2d,1,4,0.5704109072685242,0.4622628390789032,0.9116261005401611,0.6227700114250183,0.17683659493923187,2.5650626505611
segresnet_axial_2d_multiclass,segresnet_2d,1,4,0.5721479058265686,0.46413013339042664,0.914437472820282,0.6214293837547302,0.18057696521282196,4.461142826796252
cvae_axial_2d_multiclass,conditional_vae_seg,1,4,0.20071811974048615,0.13124100863933563,0.5206903219223022,0.05819588154554367,0.023268168792128563,1.241102887497168
diffusion_axial_2d_x0_multiclass,conditional_diffusion_unet,1,4,0.41499122977256775,0.3198656439781189,0.8211705684661865,0.4035094976425171,0.020293567329645157,13.595370466753737
diffusion_axial_2d_x0_multiclass,conditional_diffusion_unet,5,4,0.43362894654273987,0.3335271179676056,0.8198140859603882,0.44945892691612244,0.03161386772990227,67.43413346882693
diffusion_axial_2d_x0_multiclass,conditional_diffusion_unet,10,4,0.41325750946998596,0.3157042860984802,0.8081072568893433,0.41105595231056213,0.020609363913536072,134.84667541542544
diffusion_axial_2d_x0_multiclass,conditional_diffusion_unet,25,4,0.4184235632419586,0.3173326849937439,0.8034372925758362,0.41482576727867126,0.037007737904787064,337.08582591826985
