experiment,model,sample_steps,num_classes,mean_dice,mean_iou,dice_kidney,dice_tumor,dice_cyst,ms_per_image
unet_binary_100case,unet_2d,1,2,0.8877156972885132,0.7981014847755432,0.8877156972885132,0.0,0.0,0.8739443304892703
diffusion_binary_100case,conditional_diffusion_unet,5,2,0.168182373046875,0.09181174635887146,0.168182373046875,0.0,0.0,16.87797791958252
diffusion_binary_100case,conditional_diffusion_unet,10,2,0.16831953823566437,0.0918935090303421,0.16831953823566437,0.0,0.0,33.630116197581934
diffusion_binary_100case,conditional_diffusion_unet,25,2,0.16885949671268463,0.09221547842025757,0.16885949671268463,0.0,0.0,84.08440471826476
